,name,st_size,st_mode,st_ino,st_dev,st_nlink,st_uid,st_gid,st_atime,st_mtime,st_ctime
104,Track 11.mp3,9827476,33206,1582466,4172478725,1,0,0,2023-03-27 19:22:08.104052,2019-09-28 19:10:01.062280,2019-05-16 16:32:12.018686
105,Track 12.mp3,8171692,33206,1582467,4172478725,1,0,0,2023-03-27 19:22:08.293052,2019-09-28 19:10:03.081138,2019-05-16 16:32:12.018686
106,Track 13.mp3,9198988,33206,1582468,4172478725,1,0,0,2023-03-27 19:22:08.551051,2019-09-28 19:10:05.110622,2019-05-16 16:32:12.019686
107,Track 2.mp3,9401524,33206,1582457,4172478725,1,0,0,2023-03-27 19:22:04.993061,2019-09-28 19:10:06.219763,2019-05-16 16:32:12.000686
108,Track 3.mp3,9013156,33206,1582458,4172478725,1,0,0,2023-03-27 19:22:05.157060,2019-09-28 19:10:10.684744,2019-05-16 16:32:12.000686
109,Track 4.mp3,10210624,33206,1582459,4172478725,1,0,0,2023-03-27 19:22:05.330060,2019-09-28 19:10:20.414369,2019-05-16 16:32:12.001686
110,Track 5.mp3,8672812,33206,1582460,4172478725,1,0,0,2023-03-27 19:22:05.426059,2019-09-28 19:10:23.643905,2019-05-16 16:32:12.001686
111,Track 6.mp3,8192572,33206,1582461,4172478725,1,0,0,2023-03-27 19:22:05.552059,2019-09-28 19:10:28.649882,2019-05-16 16:32:12.001686
112,Track 7.mp3,7825084,33206,1582462,4172478725,1,0,0,2023-03-27 19:22:05.821059,2019-09-28 19:10:30.142296,2019-05-16 16:32:12.002686
113,Track 8.mp3,9131128,33206,1582463,4172478725,1,0,0,2023-03-27 19:22:07.329054,2019-09-28 19:10:31.826024,2019-05-16 16:32:12.017686
114,Track 9.mp3,8614348,33206,1582464,4172478725,1,0,0,2023-03-27 19:22:07.569054,2019-09-28 19:10:33.407722,2019-05-16 16:32:12.017686
115,Track 1.mp3,12525172,33206,1582474,4172478725,1,0,0,2023-03-27 19:22:08.674051,2019-09-28 19:10:34.907785,2019-05-16 16:32:12.098684
116,Track 10.mp3,11341276,33206,1582483,4172478725,1,0,0,2023-03-27 19:22:10.988045,2019-09-28 19:10:36.603545,2019-05-16 16:32:12.103684
117,Track 2.mp3,9538288,33206,1582475,4172478725,1,0,0,2023-03-27 19:22:08.839050,2019-09-28 19:10:37.877565,2019-05-16 16:32:12.099684
118,Track 3.mp3,13323832,33206,1582476,4172478725,1,0,0,2023-03-27 19:22:09.102050,2019-09-28 19:10:39.342606,2019-05-16 16:32:12.099684
119,Track 4.mp3,18945772,33206,1582477,4172478725,1,0,0,2023-03-27 19:22:09.345049,2019-09-28 19:10:40.802073,2019-05-16 16:32:12.100684
120,Track 5.mp3,8716660,33206,1582478,4172478725,1,0,0,2023-03-27 19:22:09.527049,2019-09-28 19:10:42.157575,2019-05-16 16:32:12.100684
121,Track 6.mp3,10199140,33206,1582479,4172478725,1,0,0,2023-03-27 19:22:09.778048,2019-09-28 19:10:43.517332,2019-05-16 16:32:12.100684
122,Track 7.mp3,22236460,33206,1582480,4172478725,1,0,0,2023-03-27 19:22:09.995047,2019-09-28 19:10:44.893466,2019-05-16 16:32:12.101684
123,Track 8.mp3,22931764,33206,1582481,4172478725,1,0,0,2023-03-27 19:22:10.110047,2019-09-28 19:10:46.389995,2019-05-16 16:32:12.101684
124,Track 9.mp3,13411528,33206,1582482,4172478725,1,0,0,2023-03-27 19:22:10.513046,2019-09-28 19:10:47.669986,2019-05-16 16:32:12.102684
125,Track 10.mp3,9799288,33206,1582493,4172478725,1,0,0,2023-03-27 19:22:12.275041,2019-09-28 19:10:49.092863,2019-05-16 16:32:12.107684
126,Track 11.mp3,7621504,33206,1582494,4172478725,1,0,0,2023-03-27 19:22:12.370041,2019-09-28 19:10:53.281078,2019-05-16 16:32:12.107684
127,Track 2.mp3,10322332,33206,1582487,4172478725,1,0,0,2023-03-27 19:22:11.079045,2019-09-28 19:10:56.073601,2019-05-16 16:32:12.104684
128,Track 4.mp3,12430168,33206,1582488,4172478725,1,0,0,2023-03-27 19:22:11.266044,2019-09-28 19:10:57.741041,2019-05-16 16:32:12.105684
129,Track 5.mp3,9020464,33206,1582489,4172478725,1,0,0,2023-03-27 19:22:11.399044,2019-09-28 19:10:59.511137,2019-05-16 16:32:12.105684
130,Track 7.mp3,11729644,33206,1582490,4172478725,1,0,0,2023-03-27 19:22:11.627043,2019-09-28 19:11:07.238406,2019-05-16 16:32:12.106684
131,Track 8.mp3,9727252,33206,1582491,4172478725,1,0,0,2023-03-27 19:22:11.918042,2019-09-28 19:11:10.238389,2019-05-16 16:32:12.106684
132,Track 9.mp3,9089368,33206,1582492,4172478725,1,0,0,2023-03-27 19:22:12.119042,2019-09-28 19:11:13.295186,2019-05-16 16:32:12.106684
133,Track 17                      .mp3,1826087,33206,1582496,4172478725,1,0,0,2023-03-27 19:22:20.094020,2011-06-22 22:35:46.000000,2019-05-16 16:32:12.108684
134,                              .mp3,5559075,33206,4986329,4172478725,1,0,0,2023-03-27 19:22:13.301039,2019-09-29 06:51:19.183699,2019-05-16 16:32:11.918688
135,All the love in the wor       .mp3,3522766,33206,4986332,4172478725,1,0,0,2023-03-27 19:22:13.432038,2019-09-29 06:51:20.318106,2019-05-16 16:32:11.918688
136,Another lonely night in ny    .mp3,4081580,33206,4986334,4172478725,1,0,0,2023-03-27 19:22:13.597038,2019-09-29 06:51:21.655036,2019-05-16 16:32:11.919688
137,Broken bottles                .mp3,3707913,33206,4986336,4172478725,1,0,0,2023-03-27 19:22:13.672038,2019-09-29 06:51:22.842138,2019-05-16 16:32:11.919688
138,Captain dick and dolemite.mp3,10623423,33206,1582417,4172478725,1,0,0,2023-03-27 19:22:12.619040,2013-09-21 15:29:59.000000,2019-05-16 16:32:11.917688
139,Comedy - howard stern - howard.mp3,9977442,33206,4986340,4172478725,1,0,0,2023-03-27 19:22:13.788037,2019-09-29 06:51:26.001706,2019-05-16 16:32:11.920688
140,Danger                        .mp3,3586697,33206,4986348,4172478725,1,0,0,2023-03-27 19:22:14.005037,2019-09-29 06:51:27.651422,2019-05-16 16:32:11.920688
141,Don't stop the night          .mp3,3404063,33206,4986350,4172478725,1,0,0,2023-03-27 19:22:14.111036,2019-09-29 06:51:29.048714,2019-05-16 16:32:11.920688
142,Dylan -- 112 wild mt theme    .mp3,6388518,33206,4986354,4172478725,1,0,0,2023-03-27 19:22:14.260036,2019-09-29 06:51:30.472872,2019-05-16 16:32:11.918688
143,George strait--chair.mp3      .mp3,2691048,33206,4986356,4172478725,1,0,0,2023-03-27 19:22:14.418036,2019-09-29 06:51:31.445249,2019-05-16 16:32:11.921688
